0,0,0
0,1,1
1,0,2
1,1,3
2,0,4
2,1,5
3,0,6
3,1,7
4,0,8
4,1,9
5,0,10
5,1,11
6,0,12
6,1,13
7,0,14
7,1,15
8,0,16
8,1,17
9,0,18
9,1,19
10,0,20
10,1,21
11,0,22
11,1,23
11,2,24
11,3,25
11,4,26
11,5,27
11,6,28
11,7,29
11,8,30
11,9,31
11,10,32
11,11,33
11,12,34
12,0,35
12,1,36
12,2,37
12,3,38
12,4,39
12,5,40
12,6,41
12,7,42
12,8,43
12,9,44
12,10,45
12,11,46
12,12,47
13,0,48
13,1,49
13,2,50
13,3,51
13,4,52
13,5,53
13,6,54
13,7,55
13,8,56
13,9,57
13,10,58
13,11,59
13,12,60
14,0,61
14,1,62
14,2,63
14,3,64
14,4,65
14,5,66
14,6,67
14,7,68
14,8,69
14,9,70
14,10,71
14,11,72
14,12,73
15,0,74
15,1,75
15,2,76
15,3,77
15,4,78
15,5,79
15,6,80
15,7,81
15,8,82
15,9,83
15,10,84
15,11,85
15,12,86
16,0,87
16,1,88
16,2,89
16,3,90
16,4,91
16,5,92
16,6,93
16,7,94
16,8,95
16,9,96
16,10,97
16,11,98
16,12,99
17,0,100
17,1,101
17,2,102
17,3,103
17,4,104
17,5,105
17,6,106
17,7,107
17,8,108
17,9,109
17,10,110
17,11,111
17,12,112
18,0,113
18,1,114
18,2,115
18,3,116
18,4,117
18,5,118
18,6,119
18,7,120
18,8,121
18,9,122
18,10,123
18,11,124
18,12,125
19,0,126
19,1,127
19,2,128
19,3,129
19,4,130
19,5,131
19,6,132
19,7,133
19,8,134
19,9,135
19,10,136
19,11,137
19,12,138
20,0,139
20,1,140
20,2,141
20,3,142
20,4,143
20,5,144
20,6,145
20,7,146
20,8,147
20,9,148
20,10,149
20,11,150
20,12,151
21,0,152
21,1,153
21,2,154
21,3,155
21,4,156
21,5,157
21,6,158
21,7,159
21,8,160
21,9,161
21,10,162
21,11,163
21,12,164
22,0,165
22,1,166
22,2,167
22,3,168
22,4,169
22,5,170
22,6,171
22,7,172
22,8,173
22,9,174
22,10,175
22,11,176
22,12,177
23,0,178
23,1,179
24,0,180
24,1,181
